[22:36:45] ================================================================================
[22:36:45] 流星偵測系統 - 增強版
[22:36:45] ================================================================================
[22:36:45] 影片: me.mp4
[22:36:45] 總幀數: 3065, FPS: 30.00
[22:36:45] 參數: 移動檢查=10幀, 最小移動=5px
[22:36:46] ✓ 流星 #1: 幀 71-76 (時間 2.4s-2.5s), 長度 23.7px, 速度 4.7px/frame, 點數 3
[00:11:06] ✓ 流星 #25: 幀 1750-1772 (時間 58.3s-59.1s), 長度 105.1px, 速度 4.8px/frame, 點數 10
[00:11:07] ✓ 流星 #26: 幀 1767-1789 (時間 58.9s-59.6s), 長度 102.1px, 速度 4.6px/frame, 點數 10
[00:11:07] ✓ 流星 #27: 幀 1784-1793 (時間 59.5s-59.8s), 長度 34.2px, 速度 3.8px/frame, 點數 4
[00:11:07] 處理進度: 1800/3065, 活躍軌跡: 0, 已偵測流星: 27
[00:11:07] 處理進度: 1900/3065, 活躍軌跡: 21, 已偵測流星: 27
[00:11:07] ✓ 流星 #28: 幀 1947-1954 (時間 64.9s-65.1s), 長度 36.9px, 速度 5.3px/frame, 點數 4
[00:11:07] ✓ 流星 #29: 幀 1951-1961 (時間 65.0s-65.4s), 長度 57.9px, 速度 5.8px/frame, 點數 6
[00:11:07] ✓ 流星 #30: 幀 1954-1964 (時間 65.1s-65.5s), 長度 37.7px, 速度 3.8px/frame, 點數 5
[00:11:07] 處理進度: 2000/3065, 活躍軌跡: 0, 已偵測流星: 30
[00:11:08] 處理進度: 2100/3065, 活躍軌跡: 0, 已偵測流星: 30
[00:11:08] 處理進度: 2200/3065, 活躍軌跡: 1, 已偵測流星: 30
[00:11:08] ✓ 流星 #31: 幀 2210-2217 (時間 73.7s-73.9s), 長度 45.7px, 速度 6.5px/frame, 點數 5
[00:11:08] ✓ 流星 #32: 幀 2207-2222 (時間 73.6s-74.1s), 長度 49.5px, 速度 3.3px/frame, 點數 7
[00:11:09] 處理進度: 2300/3065, 活躍軌跡: 0, 已偵測流星: 32
[00:11:09] ✓ 流星 #33: 幀 2353-2377 (時間 78.4s-79.2s), 長度 239.0px, 速度 10.0px/frame, 點數 11
[00:11:09] 處理進度: 2400/3065, 活躍軌跡: 2, 已偵測流星: 33
[00:11:10] ✓ 流星 #34: 幀 2482-2494 (時間 82.7s-83.1s), 長度 21.7px, 速度 1.8px/frame, 點數 4
[00:11:10] 處理進度: 2500/3065, 活躍軌跡: 1, 已偵測流星: 34
[00:11:10] 處理進度: 2600/3065, 活躍軌跡: 0, 已偵測流星: 34
[00:11:11] ✓ 流星 #35: 幀 2648-2657 (時間 88.3s-88.6s), 長度 84.9px, 速度 9.4px/frame, 點數 6
[00:11:11] 處理進度: 2700/3065, 活躍軌跡: 0, 已偵測流星: 35
[00:11:11] 處理進度: 2800/3065, 活躍軌跡: 0, 已偵測流星: 35
[00:11:12] 處理進度: 2900/3065, 活躍軌跡: 0, 已偵測流星: 35
[00:11:12] ✓ 流星 #36: 幀 2975-2992 (時間 99.2s-99.7s), 長度 52.7px, 速度 3.1px/frame, 點數 7
[00:11:12] 處理進度: 3000/3065, 活躍軌跡: 1, 已偵測流星: 36
[00:11:12] 
軌跡合併: 36 → 20 顆流星
[00:11:12] 
總共偵測到 20 顆流星
[00:11:12] 場景切換次數: 4
[00:11:12] ✓ 結果已儲存: output_enhanced\me\results.json
[00:11:12] 
開始生成標記影片...
[00:11:13]   標記進度: 100/3065
[00:11:14]   標記進度: 200/3065
[00:11:14]   標記進度: 300/3065
[00:11:15]   標記進度: 400/3065
[00:11:16]   標記進度: 500/3065
[00:11:16]   標記進度: 600/3065
[00:11:17]   標記進度: 700/3065
[00:11:17]   標記進度: 800/3065
[00:11:18]   標記進度: 900/3065
[00:11:19]   標記進度: 1000/3065
[00:11:19]   標記進度: 1100/3065
[00:11:20]   標記進度: 1200/3065
[00:11:20]   標記進度: 1300/3065
[00:11:21]   標記進度: 1400/3065
[00:11:22]   標記進度: 1500/3065
[00:11:22]   標記進度: 1600/3065
[00:11:23]   標記進度: 1700/3065
[00:11:24]   標記進度: 1800/3065
[00:11:24]   標記進度: 1900/3065
[00:11:25]   標記進度: 2000/3065
[00:11:25]   標記進度: 2100/3065
[00:11:26]   標記進度: 2200/3065
[00:11:27]   標記進度: 2300/3065
[00:11:27]   標記進度: 2400/3065
[00:11:28]   標記進度: 2500/3065
[00:11:28]   標記進度: 2600/3065
[00:11:29]   標記進度: 2700/3065
[00:11:30]   標記進度: 2800/3065
[00:11:30]   標記進度: 2900/3065
[00:11:31]   標記進度: 3000/3065
[00:11:31] ✓ 標記影片已儲存: output_enhanced\me\me_annotated.mp4
